seq	pay	rtt
0	100	228
1	100	188
2	100	190
3	100	106
4	100	93
5	200	94
6	200	99
7	200	108
8	200	113
9	200	98
10	300	95
11	300	108
12	300	173
13	300	155
14	300	167
15	400	169
16	400	139
17	400	129
18	400	109
19	400	110
20	500	140
21	500	108
22	500	96
23	500	99
24	500	95
25	600	102
26	600	105
27	600	129
28	600	117
29	600	131
30	700	133
31	700	83
32	700	83
33	700	106
34	700	129
35	800	138
36	800	102
37	800	114
38	800	93
39	800	111
40	900	104
41	900	164
42	900	163
43	900	62
44	900	67
45	1000	59
46	1000	53
47	1000	59
48	1000	87
49	1000	150
